"ID","ID Parent","Intitulé","Acronyme","Description","Type","Util adr parent","Rue","Numéro","Complément d'adresse","Code postal","Localité","Tél","Tél portable","Fax","Courriel","Site web","Région","Pays","UID"
2,,Formation - Institut provincial de formation du hainaut,IPFH,Institut provincial de formation du hainaut,,,,,,,,,,,,,,,
3,,Formation - IPFH - Académie de police,APPH,IPFH - Académie de police,,,,,,,,,,,,,,,
4,,Formation - IPFH - Ecole des secouristes ambulanciers,EPSAH,IPFH - Ecole des secouristes ambulanciers,,,,,,,,,,,,,,,
5,,Formation - IPFH - Ecole du feu,EPFH,IPFH - Ecole du feu,,,,,,,,,,,,,,,
6,,Formation - IPFH - Ecole d'administration,EA,IPFH - Ecole d'administration,,,,,,,,,,,,,,,
7,,Formation - IPFH - Appui psychologique aux intervenants,APPIH,IPFH - Appui psychologique aux intervenants,,,,,,,,,,,,,,,
8,,Enseignement - Hainaut Enseignement,HE,Hainaut Enseignement,,,,,,,,,,,,,,,
9,,Enseignement - Direction générale des enseignements du hainaut,DGEH,Direction générale des enseignements du hainaut,,,,,,,,,,,,,,,
10,,Enseignement - Direction générale regionale des enseignements du centre,DGRCE,Direction générale regionale des enseignements du centre,,,,,,,,,,,,,,,
11,,Enseignement - Athénée provincial mixte warocque,APC,Athénée provincial mixte warocque,,,,,,,,,,,,,,,
12,,Enseignement - Athénée provincial - La Louviere ,APLL ,Athénée provincial - La Louviere ,,,,,,,,,,,,,,,
13,,Enseignement - Ecole fondamentale provinciale d'application de morlanwelz,EPAM,Ecole fondamentale provinciale d'application de morlanwelz,,,,,,,,,,,,,,,
14,,Enseignement - Institut provincial d'enseignement Charles Deliège,IPCD,Institut provincial d'enseignement Charles Deliège,,,,,,,,,,,,,,,
15,,Enseignement - Institut provincial d'enseignement de promotion sociale - Binche - Carnières - Morlanwelz,IPEPS,Institut provincial d'enseignement de promotion sociale - Binche - Carnières - Morlanwelz,,,,,,,,,,,,,,,
16,,Enseignement - Institut provincial d'enseignement secondaire leon hurez - La Louviere,IPESLHLL,Institut provincial d'enseignement secondaire leon hurez - La Louviere,,,,,,,,,,,,,,,
17,,Enseignement - Institut provincial de nursing du centre,IPNC,Institut provincial de nursing du centre,,,,,,,,,,,,,,,
18,,Enseignement - Institut provincial des arts et metiers du centre,IPAMPS,Institut provincial des arts et metiers du centre,,,,,,,,,,,,,,,
19,,Enseignement - Institut technique et agricole de Soignies,ITASPS,Institut technique et agricole de Soignies,,,,,,,,,,,,,,,
20,,Enseignement - Lycee provincial des sciences et des technologies,LPST,Lycee provincial des sciences et des technologies,,,,,,,,,,,,,,,
21,,Enseignement - Centre d'éducation et de formation en alternance - La Louvière,CEFALL,Centre d'éducation et de formation en alternance - La Louvière,,,,,,,,,,,,,,,
22,,Enseignement - Ecole industrielle et commerciale d'Ecaussinnes,EICE,Ecole industrielle et commerciale d'Ecaussinnes,,,,,,,,,,,,,,,
23,,Enseignement - Direction générale régionale des enseignements de Charleroi,DGRCH,Direction générale régionale des enseignements de Charleroi,,,,,,,,,,,,,,,
24,,Enseignement - Institut d'enseignement technique et professionnel de promotion sociale,IPETP-FARCIENNES,Institut d'enseignement technique et professionnel de promotion sociale,,,,,,,,,,,,,,,
25,,Enseignement - Institut provincial d'enseignement secondaire paramedical - La samaritaine,SAMA,Institut provincial d'enseignement secondaire paramedical - La samaritaine,,,,,,,,,,,,,,,
26,,Enseignement - Institut provincial supérieur des sciences sociales et pédagogiques,IPSMAPS,Institut provincial supérieur des sciences sociales et pédagogiques,,,,,,,,,,,,,,,
27,,Enseignement - Institut supérieur industriel de promotion sociale,ISIPS,Institut supérieur industriel de promotion sociale,,,,,,,,,,,,,,,
28,,Enseignement - Universite du travail - Institut d'enseignement technique secondaire,IETS,Universite du travail - Institut d'enseignement technique secondaire,,,,,,,,,,,,,,,
29,,Enseignement - Universite du travail - Institut jean jaures,IJJ,Universite du travail - Institut jean jaures,,,,,,,,,,,,,,,
30,,Enseignement - Centre d'éducation et de formation en alternance - Charleroi,CEFA Charleroi,Centre d'éducation et de formation en alternance - Charleroi,,,,,,,,,,,,,,,
31,,Enseignement - Universite du travail - Institut d'enseignement technique secondaire ps,IETSPS,Universite du travail - Institut d'enseignement technique secondaire ps,,,,,,,,,,,,,,,
32,,Enseignement - Universite du travail - Institut d'enseignement technique commercial - ps,IETCPS,Universite du travail - Institut d'enseignement technique commercial - ps,,,,,,,,,,,,,,,
33,,Enseignement - Direction générale régionale des enseignements de wallonie picarde,DGRWAPI,Direction générale régionale des enseignements de wallonie picarde,,,,,,,,,,,,,,,
34,,Enseignement - Athénée provincial - Leuze,APL,Athénée provincial - Leuze,,,,,,,,,,,,,,,
35,,Enseignement - Centre d'éducation et de formation en alternance - Ath / Tournai,CEFA ATH-TOURNAI,Centre d'éducation et de formation en alternance - Ath / Tournai,,,,,,,,,,,,,,,
36,,Enseignement - Institut d'enseignement secondaire provincial paramedical - Tournai,IESPPT,Institut d'enseignement secondaire provincial paramedical - Tournai,,,,,,,,,,,,,,,
37,,Enseignement - Institut provincial d'enseignement secondaire - Ath,IPES ATH,Institut provincial d'enseignement secondaire - Ath,,,,,,,,,,,,,,,
38,,Enseignement - Institut provincial d'enseignement secondaire - Tournai,IPES TOURNAI,Institut provincial d'enseignement secondaire - Tournai,,,,,,,,,,,,,,,
39,,Enseignement - Institut provincial d'enseignement de promotion sociale de wallonie picarde - Leuze,IPEPS WAPI,Institut provincial d'enseignement de promotion sociale de wallonie picarde - Leuze,,,,,,,,,,,,,,,
40,,Enseignement - Direction générale régionale des enseignements de Mons-Borinage,DGRMB,Direction générale régionale des enseignements de Mons-Borinage,,,,,,,,,,,,,,,
41,,Enseignement - Académie Provinciale des métiers,APM,Académie Provinciale des métiers,,,,,,,,,,,,,,,
42,,Enseignement - Athénée provincial Jean d'Avesnes,APJA,Athénée provincial Jean d'Avesnes,,,,,,,,,,,,,,,
43,,Enseignement - Centre d'éducation et de formation en alternance - Mons,CEFA MONS,Centre d'éducation et de formation en alternance - Mons,,,,,,,,,,,,,,,
44,,Enseignement - &,CMAH,Cours des métiers d'art du hainaut - Mons,,,,,,,,,,,,,,,
45,,Enseignement - Ecole du futur,EDF,Ecole du futur,,,,,,,,,,,,,,,
46,,Enseignement - Institut d'enseignement secondaire paramédical provincial - Mons,IESPPM,Institut d'enseignement secondaire paramédical provincial - Mons,,,,,,,,,,,,,,,
47,,Enseignement - Lycee provincial Hornu Colfontaine,LPHC,Lycee provincial Hornu Colfontaine,,,,,,,,,,,,,,,
48,,Enseignement - Lycee provincial d'enseignement technique du hainaut - Saint-Ghislain,LETH,Lycee provincial d'enseignement technique du hainaut - Saint-Ghislain,,,,,,,,,,,,,,,
49,,Enseignement - Promotion sociale secondaire de Mons-Borinage,PROMSOC SEC,Promotion sociale secondaire de Mons-Borinage,,,,,,,,,,,,,,,
50,,Enseignement - Promotion sociale superieur de Mons-Borinage,PROMSOC SUP,Promotion sociale superieur de Mons-Borinage,,,,,,,,,,,,,,,
51,,Enseignement - Haute école provinciale de hainaut - Condorcet,HEPH CONDORCET,Haute école provinciale de hainaut - Condorcet,,,,,,,,,,,,,,,
