Energy,mu
777.01728,-0.0015
777.11728,-0.00154
777.21728,-0.00156
777.31728,-0.00157
777.41728,-0.00163
777.51728,-0.00165
777.61728,-0.00167
777.71728,-0.00172
777.81728,-0.00171
777.91728,-0.00177
778.01728,-0.00175
778.11728,-0.00181
778.21728,-0.00184
778.31728,-0.00186
778.41728,-0.00187
778.51728,-0.0019
778.61728,-0.00189
778.71728,-0.00189
778.81728,-0.00186
778.91728,-0.00189
779.01728,-0.00185
779.11728,-0.00187
779.21728,-0.00179
779.31728,-0.00179
779.41728,-0.0018
779.51728,-0.00173
779.61728,-0.00167
779.71728,-0.00162
779.81728,-0.0015
779.91728,-0.00142
780.01728,-0.00124
780.11728,-0.00112
780.21728,-0.000899052
780.31728,-0.000659914
780.41728,-0.000441304
780.51728,-0.000111016
780.61728,0.000223189
780.71728,0.000691944
780.81728,0.00119
780.91728,0.00187
781.01728,0.00253
781.11728,0.00335
781.21728,0.00466
781.31728,0.00611
781.41728,0.00844
781.51728,0.01099
781.61728,0.01448
781.71728,0.01959
781.81728,0.02958
781.91728,0.04147
782.01728,0.05922
782.11728,0.07234
782.21728,0.08378
782.31728,0.08772
782.41728,0.08705
782.51728,0.08399
782.61728,0.08229
782.71728,0.08672
782.81728,0.09525
782.91728,0.10995
783.01728,0.12907
783.11728,0.14515
783.21728,0.1655
783.31728,0.18546
783.41728,0.20247
783.51728,0.21135
783.61728,0.21453
783.71728,0.21199
783.81728,0.20973
783.91728,0.20919
784.01728,0.20897
784.11728,0.2062
784.21728,0.20066
784.31728,0.19241
784.41728,0.18798
784.51728,0.18836
784.61728,0.19334
784.71728,0.2008
784.81728,0.20282
784.91728,0.19674
785.01728,0.18115
785.11728,0.16281
785.21728,0.14246
785.31728,0.12402
785.41728,0.10593
785.51728,0.09292
785.61728,0.08501
785.71728,0.07858
785.81728,0.0727
785.91728,0.06628
786.01728,0.06068
786.11728,0.05571
786.21728,0.05158
786.31728,0.04905
786.41728,0.04738
786.51728,0.04618
786.61728,0.04561
786.71728,0.04549
786.81728,0.04568
786.91728,0.0462
787.01728,0.0467
787.11728,0.04671
787.21728,0.04594
787.31728,0.04393
787.41728,0.04145
787.51728,0.03761
787.61728,0.03354
787.71728,0.02965
787.81728,0.02674
787.91728,0.02335
788.01728,0.02091
788.11728,0.01785
788.21728,0.01637
788.31728,0.01423
788.41728,0.0123
788.51728,0.01078
788.61728,0.00954
788.71728,0.00823
788.81728,0.00724
788.91728,0.00654
789.01728,0.00594
789.11728,0.0053
789.21728,0.00486
789.31728,0.00448
789.41728,0.00422
789.51728,0.00396
789.61728,0.00376
789.71728,0.00349
789.81728,0.00324
789.91728,0.00302
790.01728,0.00281
790.11728,0.00258
790.21728,0.00235
790.31728,0.00215
790.41728,0.00195
790.51728,0.00179
790.61728,0.0016
790.71728,0.00144
790.81728,0.00134
790.91728,0.00115
791.01728,0.00101
791.11728,0.000979627
791.21728,0.000852194
791.31728,0.000658013
791.41728,0.000575684
791.51728,0.000515588
791.61728,0.000417773
791.71728,0.000338531
791.81728,0.000257733
791.91728,0.000204916
792.01728,0.000129586
792.11728,0.000165386
792.21728,7.71E-05
792.31728,-2.58E-05
792.41728,-4.72E-05
792.51728,-0.0001668
792.61728,-0.000245596
792.71728,-0.000295564
792.81728,-0.000371806
792.91728,-0.000433433
793.01728,-0.000494846
793.11728,-0.000547855
793.21728,-0.000644439
793.31728,-0.000769427
793.41728,-0.000820521
793.51728,-0.000872381
793.61728,-0.000972581
793.71728,-0.00104
793.81728,-0.00112
793.91728,-0.00115
794.01728,-0.00121
794.11728,-0.00127
794.21728,-0.00132
794.31728,-0.00131
794.41728,-0.00134
794.51728,-0.00136
794.61728,-0.00138
794.71728,-0.00132
794.81728,-0.00131
794.91728,-0.00131
795.01728,-0.00124
