"Group","CircularIdx","NetmatIdx","CircosColour","RGBColour","NetmatReverseOrder"
"frontal_L",1,1,"red","217, 120, 99","FALSE"
"medial_L",2,2,"yellow","220, 213, 103","FALSE"
"temporal_L",3,3,"purple","155, 152, 183","FALSE"
"parietal_L",4,4,"green","127, 180, 128","FALSE"
"occipital_L",5,5,"blue","121, 166, 193","FALSE"
"occipital_R",6,10,"vvdblue","54, 95, 148","TRUE"
"parietal_R",7,9,"vvdgreen","49, 109, 82","TRUE"
"temporal_R",8,8,"vvdpurple","99, 62, 139","TRUE"
"medial_R",9,7,"vvdyellow","178, 170, 49","TRUE"
"frontal_R",10,6,"vvdred","152, 49, 58","TRUE"
