Energy,mu
777.01728,0.0012
777.11728,0.00111
777.21728,0.00101
777.31728,0.000931243
777.41728,0.000801297
777.51728,0.000799839
777.61728,0.000730502
777.71728,0.000643668
777.81728,0.000575948
777.91728,0.000508538
778.01728,0.000459973
778.11728,0.000364774
778.21728,0.000305911
778.31728,0.000243621
778.41728,0.000170728
778.51728,0.000115113
778.61728,8.03E-05
778.71728,2.19E-05
778.81728,-3.48E-05
778.91728,-7.12E-05
779.01728,-0.000104244
779.11728,-0.000147013
779.21728,-0.000178672
779.31728,-0.000209981
779.41728,-0.000229735
779.51728,-0.000261691
779.61728,-0.000258079
779.71728,-0.00029635
779.81728,-0.000273761
779.91728,-0.000286512
780.01728,-0.000233634
780.11728,-0.000210515
780.21728,-0.000149301
780.31728,-9.24E-05
780.41728,-5.07E-06
780.51728,8.23E-05
780.61728,0.00017354
780.71728,0.000278036
780.81728,0.000474845
780.91728,0.000679573
781.01728,0.000922105
781.11728,0.00118
781.21728,0.00155
781.31728,0.00199
781.41728,0.00254
781.51728,0.00329
781.61728,0.00427
781.71728,0.00574
781.81728,0.00798
781.91728,0.01114
782.01728,0.01486
782.11728,0.01815
782.21728,0.02088
782.31728,0.0243
782.41728,0.03017
782.51728,0.0381
782.61728,0.04763
782.71728,0.05618
782.81728,0.0627
782.91728,0.06946
783.01728,0.07984
783.11728,0.09276
783.21728,0.10312
783.31728,0.10845
783.41728,0.10923
783.51728,0.10761
783.61728,0.10716
783.71728,0.10896
783.81728,0.11008
783.91728,0.10987
784.01728,0.11007
784.11728,0.11241
784.21728,0.11537
784.31728,0.12152
784.41728,0.13002
784.51728,0.13991
784.61728,0.1503
784.71728,0.1624
784.81728,0.17353
784.91728,0.18322
785.01728,0.18965
785.11728,0.19275
785.21728,0.19229
785.31728,0.18898
785.41728,0.18372
785.51728,0.17754
785.61728,0.17045
785.71728,0.16333
785.81728,0.15607
785.91728,0.14846
786.01728,0.14057
786.11728,0.1329
786.21728,0.12544
786.31728,0.11827
786.41728,0.11185
786.51728,0.10599
786.61728,0.1011
786.71728,0.09656
786.81728,0.09267
786.91728,0.08894
787.01728,0.08548
787.11728,0.08201
787.21728,0.07861
787.31728,0.07489
787.41728,0.07134
787.51728,0.06766
787.61728,0.06378
787.71728,0.05984
787.81728,0.05595
787.91728,0.05224
788.01728,0.04866
788.11728,0.04527
788.21728,0.04198
788.31728,0.03896
788.41728,0.03602
788.51728,0.03337
788.61728,0.03097
788.71728,0.02867
788.81728,0.0266
788.91728,0.02486
789.01728,0.02313
789.11728,0.02163
789.21728,0.02026
789.31728,0.01902
789.41728,0.01789
789.51728,0.01684
789.61728,0.01584
789.71728,0.01484
789.81728,0.01389
789.91728,0.01303
790.01728,0.01218
790.11728,0.01132
790.21728,0.01055
790.31728,0.00989
790.41728,0.00925
790.51728,0.0086
790.61728,0.008
790.71728,0.00741
790.81728,0.00697
790.91728,0.00643
791.01728,0.00603
791.11728,0.00555
791.21728,0.00515
791.31728,0.00477
791.41728,0.00447
791.51728,0.00415
791.61728,0.0038
791.71728,0.00353
791.81728,0.00327
791.91728,0.00305
792.01728,0.00281
792.11728,0.00258
792.21728,0.0024
792.31728,0.00218
792.41728,0.00204
792.51728,0.00188
792.61728,0.00173
792.71728,0.00161
792.81728,0.00151
792.91728,0.00138
793.01728,0.00129
793.11728,0.00126
793.21728,0.00118
793.31728,0.00115
793.41728,0.00111
793.51728,0.00106
793.61728,0.00104
793.71728,0.00104
793.81728,0.00105
793.91728,0.00106
794.01728,0.00108
794.11728,0.00106
794.21728,0.00106
794.31728,0.00104
794.41728,0.00104
794.51728,0.000980074
794.61728,0.00091102
794.71728,0.000889742
794.81728,0.000818598
794.91728,0.000754718
795.01728,0.000663264
